Geography,Timeframe,Current Year Week Ending,Type,ASP Current Year,Total Bulk and Bags Units,4046 Units,4225 Units,4770 Units,TotalBagged Units,SmlBagged Units,LrgBagged Units,X-LrgBagged Units,Bulk GTIN
Wichita,Weekly,18/10/2020 0:00,Conventional,0.741507896,109696.19,33668.11,2559.53,2.19,27889.44,0,0,0,45576.91
Wichita,Weekly,25/10/2020 0:00,Conventional,0.715042754,106703.08,29270.7,1960.58,4.37,28821.87,0,0,0,46645.57
Wichita,Weekly,1/11/2020 0:00,Conventional,0.699905758,113979.12,31888.3,2047.14,7.65,26797.8,0,0,0,53238.23
Wichita,Weekly,8/11/2020 0:00,Conventional,0.705542407,119147.05,34179.03,2485.89,11.58,27823.75,0,0,0,54646.81
Wichita,Weekly,15/11/2020 0:00,Conventional,0.720365973,117601.93,30556.58,4670.23,1.09,28802.74,0,0,0,53571.3
Wichita,Weekly,22/11/2020 0:00,Conventional,0.705450536,105901.77,26998.83,5648.66,1.09,28326.31,0,0,0,44926.87
Wichita,Weekly,29/11/2020 0:00,Conventional,0.686606118,91624.71,25728.36,2697.97,5.32,25539.07,0,0,0,37654
Wichita,Weekly,6/12/2020 0:00,Conventional,0.688379195,112808.15,31025.75,5073.02,5.46,26772.63,0,0,0,49931.28
Wichita,Weekly,13/12/2020 0:00,Conventional,0.684612915,113276.55,29701.85,5244.68,0,32464.29,0,0,0,45865.73
Wichita,Weekly,20/12/2020 0:00,Conventional,0.684962287,98138.71,28008.48,2927.07,2.19,31935.33,0,0,0,35265.65
Wichita,Weekly,27/12/2020 0:00,Conventional,0.676531077,102032.96,27779.15,3050.23,2.19,31258.59,0,0,0,39942.81
California,Weekly,6/01/2020 0:00,Conventional,1.184136996,5631757.81,1767743.65,804070.42,184872.75,773193.65,0,0,0,2101877.35
California,Weekly,12/01/2020 0:00,Conventional,1.175739947,5847376.98,1838929.59,778271.25,128021.87,779461.85,0,0,0,2322692.42
