Geography,Timeframe,Lat,Lng,Current Year Week Ending,Type,ASP Current Year,Total Bulk and Bags Units,4046 Units,4225 Units,4770 Units,TotalBagged Units,SmlBagged Units,LrgBagged Units,X-LrgBagged Units,Bulk GTIN
South Central,Weekly,#FIELD!,#FIELD!,21/03/2021 0:00,Conventional,0.734092818,6603749.49,2613320.32,918255.3,177929.02,1647594.73,1387303.48,100027.2,143060.15,1246650.12
South Central,Weekly,#FIELD!,#FIELD!,21/03/2021 0:00,Organic,1.231656031,159616.02,12438.82,3107.38,1212.33,122993.32,121330.71,1662.61,0,19864.18
South Central,Weekly,#FIELD!,#FIELD!,28/03/2021 0:00,Conventional,0.873180379,5945950.99,2317632.9,740880.5,81491.79,1640350.27,1402061.08,90816.6,132972.4,1165595.53
South Central,Weekly,#FIELD!,#FIELD!,28/03/2021 0:00,Organic,1.401167321,151142.17,8200.88,4073.99,1866.63,110839.97,109184.41,1655.56,0,26160.7
South Central,Weekly,#FIELD!,#FIELD!,4/04/2021 0:00,Conventional,0.882717316,6269843.59,2651478.88,711217.6,88388.81,1767592.08,1480175.13,131385.32,148065.69,1051166.22
South Central,Weekly,#FIELD!,#FIELD!,4/04/2021 0:00,Organic,1.352225267,179886.55,9607.1,2678.26,1113.76,140823.48,139144.72,1678.76,0,25663.96
South Central,Weekly,#FIELD!,#FIELD!,11/04/2021 0:00,Conventional,0.908249901,5804564.23,2533493.39,598550.32,82749.08,1589147.04,1332532.75,113607.73,134033.02,1000624.4
South Central,Weekly,#FIELD!,#FIELD!,11/04/2021 0:00,Organic,1.444412609,153913.52,17701.47,2477.13,1584.03,114808.57,113257.68,1550.89,0,17342.32
South Central,Weekly,#FIELD!,#FIELD!,18/04/2021 0:00,Conventional,0.916829204,5934476.45,2539559.46,584067.29,76112.84,1664418.85,1349761.25,207040.31,99099.46,1070318.01
South Central,Weekly,#FIELD!,#FIELD!,18/04/2021 0:00,Organic,1.435714153,157228.66,20314.28,2612.43,187.7,114113.79,111832.1,2281.69,0,20000.46
South Central,Weekly,#FIELD!,#FIELD!,25/04/2021 0:00,Conventional,0.877688839,6055123.34,2806011.43,536603.63,87571.22,1574623.96,1293955.73,220525.2,50887.62,1050313.11
South Central,Weekly,#FIELD!,#FIELD!,25/04/2021 0:00,Organic,1.560551885,179123.8,48745.97,2906,32.25,110036.14,108589.7,1418.08,28.35,17403.45
South Central,Weekly,#FIELD!,#FIELD!,2/05/2021 0:00,Conventional,0.90834936,6055182.55,2723816.71,578386.93,98306.24,1617494.57,1354553.98,87893.93,144611.05,1037178.1
South Central,Weekly,#FIELD!,#FIELD!,2/05/2021 0:00,Organic,1.569655603,174551.2,33252.8,4311.33,0,111076.76,108753.05,2323.71,0,25910.31
